"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kobe Brown","Lac","*","F","25.9","14","11.3","14.3","15.9","4","1","15","0.667","27","0.259","0.488","0.514","3.2","1.9","1.1","0.2","0.1","0.6","5.1","4.3","6.1","6.7","107.6","120.7"
"","Justin Champagnie","Was","*","G-F","24.4","17","11.2","12.5","6.1","18","0.833","30","0.567","16","0.125","0.435","0.51","3.2","3.4","0.8","0.6","0.2","0.2","6.6","4","7.4","7.3","131.5","115.6"
"","Xavier Tillman","Bos","*","F","26.9","9","10.6","13.5","10","0","0","14","0.714","13","0.231","0.537","0.537","3.2","2.6","0.6","0.7","0.2","0.3","5.8","3.8","6.3","6.4","121.3","110.8"
"","Mark Sears","Mil","*","G","23.8","7","3.7","34.5","23.1","8","0.75","5","0.4","8","0.5","0.615","0.666","3.1","0.3","0.3","0","0","0.6","3.4","3.4","3.7","7.1","0","0"
"","Duop Reath","Por","*","C","29.4","16","7","12.7","5.6","0","0","6","0.667","28","0.5","0.735","0.735","3.1","0.6","0.3","0.2","0.1","0.1","3.8","3.4","4","4.7","143.1","114.2"
"","Yanic Konan Niederhauser","Lac","*","C","22.7","10","5.4","20.5","14.1","10","0.5","18","0.722","0","0","0.722","0.692","3.1","1.3","0.3","0","0.3","0.3","4.4","3.4","4.7","7.9","133.4","119.2"
"","Adem Bona","Phi","*","F","22.7","14","15.9","9.2","26.7","18","0.556","27","0.556","3","0.333","0.55","0.567","3.1","3.6","0.2","0.4","1.8","0.8","6.6","3.3","6.9","3.3","108.2","108.2"
"","Ochai Agbaji","Tor","*","G","25.6","15","13.6","12.1","9.2","10","0.7","32","0.563","17","0.059","0.398","0.431","3.1","1.9","0.7","0.4","0.1","0.3","4.9","3.7","5.6","4.7","94.4","104.1"
"","Monte Morris","Ind","*","G","30.4","6","10.8","15.2","9","4","0.5","12","0.417","8","0.25","0.4","0.414","3","1.2","1.5","0.2","0.2","0.3","4.2","4.5","5.7","6.5","97.4","118.4"
"","Ousmane Dieng","Okc","*","F","22.5","14","11","14.2","12.1","4","1","22","0.455","21","0.286","0.442","0.469","3","1.7","0.8","0.1","0.4","0.4","4.7","3.8","5.5","5.8","98.4","103.6"
"","Riley Minix","San","*","F","25.2","3","2.8","30.8","0","0","0","3","1","3","0.333","0.75","0.75","3","0.7","0.3","0.3","0","0","3.7","3.3","4","12.2","0","0"
"","Kevon Looney","Nor","*","F","29.8","11","13.1","11.5","13.4","6","0.5","25","0.52","7","0.143","0.453","0.462","2.9","4","1.5","0.4","0.5","0.5","6.9","4.4","8.4","7.9","119.3","109.2"
"","Chris Paul","Lac","*","G","40.6","16","14.2","14","22.2","2","0.5","26","0.308","30","0.333","0.411","0.413","2.9","1.8","3.3","0.7","0","1","4.7","6.3","8","7.3","100.4","113.8"
"","Bobi Klintman","Det","*","F","22.7","6","8.8","21.1","19.2","3","0","10","0.4","11","0.273","0.405","0.381","2.8","2.7","0.7","0.3","0","0.8","5.5","3.5","6.2","7.9","81.8","95.5"
"","Jase Richardson","Orl","*","G","20.1","11","6.2","17.9","14.6","5","0.8","12","0.5","11","0.455","0.587","0.615","2.8","0.6","0.9","0.1","0","0.4","3.5","3.7","4.4","7.4","120.9","112.3"
"","Jonathan Isaac","Orl","*","F","28.2","19","10","12.7","11.7","16","0.563","22","0.682","23","0.217","0.5","0.519","2.8","3.1","0.1","0.3","0.5","0.3","5.9","2.9","6.1","3.8","111.3","106.6"
"","Guerschon Yabusele","Nyk","*","F","30","18","10.4","13.3","8.7","6","0.5","17","0.529","35","0.286","0.462","0.467","2.8","2.3","0.5","0.1","0.2","0.3","5.2","3.3","5.7","5.7","109.1","106"
"","Ron Harper Jr.","Bos","*","G-F","25.6","3","5.2","19.3","0","0","0","1","1","6","0.333","0.571","0.571","2.7","1","1","0","0.3","0","3.7","3.7","4.7","10.7","143.9","107.7"
"","Johnny Furphy","Ind","*","G","21","3","12.2","10.1","33.3","0","0","3","0.333","3","0.667","0.667","0.667","2.7","2","0","0.7","0","1","4.7","2.7","4.7","0","84.3","108.2"
